id,NPRO,DPRO,TVEH,CORT,REEM,UBIC,STOC,PCUR,PEND,DIFE,FUEN,FUSA,ZDOC,BPCL,PDUM,PDUA,BPNC,CPRO,FAM1,FAMI,NPRV,CADU,VTPR,VT00,VT01,VT02,VT03,VT04,VT05,VT06,VT07,VT08,VT09,VT10,VT11,VT12,VT13,VT14,VT15,VT16,VT17,VT18,VT19,VT20,VT21,VT22,VT23,VT24
1169,7700679691,TUBO CALEF. 19/21/B5,,1111,,1-0303,5,0,0,0,1998-07-21,1998-07-22,,7355.00,1987.07,1527.11,4781.00,,,46,11,,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,7700679693,CALA DE ACEITE    73,,1111,,130608,8,0,0,0,1997-01-28,1998-03-18,,7668.00,1757.79,786.65,4984.00,NV2,,19,11,757,0.08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1171,7700679695,TAPA TERMOSTATO   63,,1111,,100803,3,0,0,0,1997-12-04,1997-11-25,,11545.00,3005.48,846.41,7504.00,GG8,,51,11,790,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1172,7700679848,TAPA CADENA       63,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,0.00,0.00,0.00,0.00,,,21,11,367,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1173,7700679849,PATA DE FIJACION R41,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,6403.00,0.00,0.00,4162.00,,,994,11,274,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,7700679912,TRAVIESA TRASERA :42,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,0.00,0.00,0.00,0.00,,,227,11,643,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1175,7700679960,GUARDAPOLVO PALANC73,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,14014.00,0.00,0.00,9109.00,,,89,11,637,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1176,7700680098,SOPORTE GOMA   73/42,,1121,,70607,10,0,0,0,1997-07-01,1998-10-23,,2419.00,474.69,212.44,1451.00,SS8,,973,11,637,1.00,0,0,1,0,0,6,0,0,0,0,0,1,4,0,0,0,2,4,0,2,0,4,0,0,0
1177,7700680106,JUNTA CARTER CAJA 51,,1321,,50608,1,0,0,0,1998-10-06,1998-10-23,,14176.00,3576.02,2689.03,8506.00,,,529,11,181,1.79,0,0,4,2,4,3,6,0,2,0,0,0,0,6,6,0,3,1,0,0,0,0,4,0,2
1178,7700680327,CARTER CAJA VELOC 51,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,74148.00,0.00,0.00,48196.00,,,18,11,649,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179,7700680341,CONTACT P/L P/F.  22,22,1111,,1-0104,1,0,0,0,1998-03-10,1998-05-13,,47628.00,7939.55,3553.14,30958.00,NV2,,602,11,583,0.04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1180,7700680401,ESTRIBO M/ELECTRON51,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,2168.00,0.00,0.00,1409.00,,,993,11,652,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1181,7700680442,BISAG TAPA MALT I.42,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,26925.00,0.00,0.00,17501.00,,,303,11,328,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1182,7700680443,BISAG.TAPA MALT.D.42,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,26925.00,0.00,0.00,17501.00,,,303,11,328,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1183,7700680586,BASE OBTURADOR    73,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,2891.00,0.00,0.00,1879.00,,,996,11,169,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1184,7700680688,JUNTA CAMARA      47,,1421,,,0,0,0,0,0000-00-00,0000-00-00,,0.00,0.00,0.00,0.00,,,525,11,481,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1185,7700680815,SOPORTE CAJ IZQ   63,,1111,,40307,1,0,0,0,1997-05-19,1997-05-19,,19861.00,3717.69,0.00,12910.00,NV1,,55,11,,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1186,7700680836,GOMA PEDAL        73,,1111,,60704,4,0,0,0,1997-12-10,1998-09-29,,5024.00,1304.68,640.39,3266.00,,,166,11,637,1.25,0,0,0,2,0,6,0,2,4,0,0,2,0,0,0,8,0,2,1,3,0,0,0,0,0
1187,7700680837,TOPE DE GOMA      21,,1111,,120506,43,0,0,0,1997-07-03,1998-08-11,,326.00,56.40,25.24,212.00,,,461,11,637,0.21,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1188,7700680852,GUARDAPOLVO DIRC  63,,1111,,80303,1,0,0,1,1998-01-01,1998-08-17,,15072.00,3083.20,1379.81,9797.00,GG8,,139,11,637,0.25,0,0,0,0,2,0,0,0,0,0,0,-1,5,0,0,0,0,0,0,0,0,0,0,0,0
1189,7700681417,EMPADURA BOMBA 73/42,,1121,,,0,0,0,0,0000-00-00,0000-00-00,,0.00,0.00,0.00,0.00,,,526,11,205,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,7700681418,EMPACADURA BOMBA  73,,1121,,,0,0,0,0,0000-00-00,0000-00-00,,0.00,0.00,0.00,0.00,,,526,11,205,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,7700681803,VARILLA CAPOT  73/42,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,10506.00,0.00,0.00,6829.00,,,322,11,274,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1192,7700681846,PIÑON DE CUARTA41/21,,1111,,,0,0,0,0,0000-00-00,0000-00-00,,78944.00,0.00,0.00,51314.00,,,79,11,649,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1193,7700681869,AMORTIGUADOR DEL 43/63,43/63,1421,7701204145,,0,0,0,0,0000-00-00,0000-00-00,,0.00,0.00,0.00,0.00,,,820,13,673,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
