ID;NPRO;DPRO;TVEH;ZDOC;REEM;CPRO;CORT;UBIC;STOC;PCUR;PEND;DIFE;FUEN;FUSA;BPCL;BPNC;PDUM;PDUA;FAM1;FAMI;NPRV;CADU
4222;7700821031;OBTURADOR TW;TW;;;;1111;6-0203;2;0;0;0;1998-03-03;1997-10-09;7482;4863.3;2618.7;907.13;0.65;666;11;
4223;7700821069;DUCTO AIRE I.     BY;BY;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;19300;12545;6755;0;0.65;693;11;115
4224;7700821100;BAJANTE TANQUE GAS.;;;;;1111;;1;0;0;0;1997-10-23;1997-10-23;86709;56360.85;30348.15;0;0.65;;11;
4225;7700821159;GUARDAPOLVO AMORT.TW;TW;;;;1111;8-0204;2;0;0;0;1998-03-03;1997-10-23;20455;13295.75;7159.25;2479.64;0.65;;11;
4226;7700821167;SUPLEMENTO BASE TRAS;;;;OO8;1151;7-0207;2;0;0;0;1998-03-03;1997-10-23;8788;4394;4394;1064.6;0.5;;11;
4227;7700821168;PUENTE TRAS.   TW;TW;;;;1111;60-0001;1;0;0;0;1998-10-06;1997-10-23;311957;202772.05;109184.95;64066.36;0.65;;11;
4228;7700821170;ESPIRAL DELT.     TW;TW;;7700419498;;1111;;0;0;0;0;1980-01-01;1980-01-01;91632;59560.8;32071.2;0;0.65;135;11;338
4229;7700821171;EJE ARTIC BANDEJA TW;TW;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;1178;765.7;412.3;0;0.65;752;11;
4230;7700821179;GOMA LUNETA TRAS. C6;C6;;;;1111;54-0502;2;0;0;0;1998-09-10;1998-09-23;44729;29073.85;15655.15;7155.21;0.65;362;11;
4231;7700821295;DOSIFICADOR LPB   TW;TW;;;;1111;4-0806;5;0;0;0;1998-06-08;1997-06-18;6804;4422.6;2381.4;698.63;0.65;876;11;
4232;7700821350;GOMA RADIADOR  73/21;21;;;GG8;1111;3-0605;6;0;0;0;1997-08-19;1998-02-12;6532;4245.8;2286.2;625.63;0.65;36;11;637
4233;7700821375;TAPA.DEP/LIGA.    73;73;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;24965;16227.25;8737.75;0;0.65;831;11;542
4234;7700821425;PANEL PTA.T.I. BY/LY;LY;;;;1111;;0;0;0;0;1980-01-01;1980-01-01;139698;90803.7;48894.3;0;0.65;373;11;325
4235;7700821426;PANEL PTA.T.D. BY/LY;LY;;;;1111;11-0507;1;0;0;0;1998-06-08;1998-06-08;139698;90803.7;48894.3;2147.33;0.65;373;11;325
4236;7700821480;EMPAQUE VIDRIO    TW;TW;;;;1111;48-0101;1;0;0;0;1997-05-20;1997-05-20;55216;35890.4;19325.6;6229.7;0.65;0;11;
4237;7700821481;EMPAQUE VIDRIO   TW;TW;;;;1111;59-0001;3;0;0;0;1998-03-03;1998-07-22;55216;35890.4;19325.6;6627.08;0.65;;11;
4238;7700821500;CLAXON            TW;TW;;;;1111;17-0603;1;0;0;0;1997-11-07;1997-11-07;40442;26287.3;14154.7;3084.7;0.65;641;11;
