ID;NPRO;DPRO;TVEH;CORT;REEM;UBIC;STOC;PCUR;PEND;DIFE;FUEN;FUSA;ZDOC;BPCL;PDUM;PDUA;BPNC;CPRO;FAM1;FAMI;NPRV;CADU
1725;7700731790;MODULO ENCENDIDO  21;;1411;;250302;3;0;0;0;1998-03-03;1997-12-04;;376548;10650668;4564706;244756;SS8;;610;11;529
1726;7700731856;DISCO F1         AX4;;1121;;90708;20;0;0;0;1998-06-10;1997-02-13;                   *;7959;197388;85421;4775;;;572;11;
1727;7700731871;ESPACIADOR        21;;1111;;0;0;0;0;0;;;;1919;0;0;1247;;;400;11;262
1728;7700731880;SOPORTE ALTENADOR 21;;1111;;0;0;0;0;0;;;;0;0;0;0;;;653;11;325
1729;7700731908;SEGMENTO;;1111;;110605;34;0;0;0;;1998-08-12;                   *;2808;3944;1765;1825;NV2;;572;11;
1730;7700731971;DEPOSITO LIGA     73;;1111;;150302;1;0;0;0;1996-07-11;1996-07-11;;13910;283409;126832;9041;;;830;11;830
1731;7700732043;HORQUILL.CAJA SIC 21;;1111;;0;0;0;0;0;;;;104016;0;0;67610;;;72;11;649
1732;7700732101;CARTER FILTRO     73;;1111;;560301;2;0;0;0;;;;99317;1867186;835611;64556;NV2;;513;11;
1733;7700732173;RESORTE VALVULA   19;;1111;;0;0;0;0;0;;;;6321;0;0;4109;;;41;11;268
1734;7700732219;EJE RETROCESO     21;;1111;;0;0;0;0;0;;;;92527;0;0;60143;;;72;11;649
1735;7700732433;EJE DE MANDO      21;;1111;;0;0;0;0;0;;;;90560;0;0;58864;;;70;11;649
1736;7700732437;CARTER EMBRAGUE   21;;1131;;0;0;0;0;0;;;;0;0;0;0;;;75;11;649
1737;7700732503;INTERRUPTOR    73/42;;1111;;130605;4;0;0;0;1997-02-25;1998-05-13;;12580;127078;5687;8177;;;721;11;562
1738;7700732506;INTERRUPTOR    73/42;;1111;;30306;5;0;0;0;1998-08-03;1998-05-19;;19678;513443;206945;12791;;;680;11;562
1739;7700732507;INTERR/RETR/96/43/63;;1111;;20105;1;0;0;0;1998-03-03;1998-06-26;;19678;534626;23399;12791;;;680;11;562
1740;7700732626;BUJIAS EYQUEN    C/B;;1111;;0;0;0;0;0;;;;2447;0;0;1591;;;601;13;
1741;7700732756;CILINDRO EMBRAG   75;;1111;;0;0;0;0;0;;;;144084;0;0;93655;;;816;11;655
1742;7700732858;DEPOSITO DE LIGA  21;;1111;;0;0;0;0;0;;;;0;0;0;0;;;830;11;709
1743;7700732903;BOCINA            26;;1111;;0;0;0;0;0;;;;3128;0;0;2033;;;978;11;637
1744;7700732935;RUEDA;;1131;;530502;5;0;0;0;1997-02-13;1997-02-13;                   *;96405;2939898;1315675;77124;;;993;11;
1745;7700732952;DISCO E1         AX4;;1111;;;0;0;0;0;;;;13446;0;0;8740;;;572;11;
1746;7700733023;BUJE PALANCA      21;;1111;;0;0;0;0;0;;;;23152;0;0;15049;;;400;11;649
1747;7700733077;TAPA TERMOSTATO   21;;1111;;70102;8;0;0;0;1998-07-07;1998-10-15;;31329;746319;305884;20364;;;51;11;478
1748;7700733104;CONDUCTO AIRE     21;;1111;;100609;2;0;0;0;;;;41472;94282;421935;26957;NV2;;510;11;148
1749;7700733160;EMB RING ALUMINIO 21;;1111;;0;0;0;0;0;;;;6279;0;0;4081;;;339;11;169
1750;7700733198;JTA.CARTER ACEITE 22;;1411;;150108;0;0;0;0;1997-10-16;1998-05-13;                   *;12960;23983;10733;8424;NV2;;529;11;157
1751;7700733388;REOSTATO LUZ      19;;1111;;0;0;0;0;0;;;;26423;0;0;17175;;;688;11;562
1752;7700733447;ARANDELA CIGUEÃ‘AL 21;;1111;;0;0;0;0;0;;;;921;0;0;599;;;991;11;262
1753;7700733489;TENSOR CORREA     B5;;1111;;0;0;0;0;0;;;;105408;0;0;68515;;;27;11;325
1754;7700733507;VARILLA DE ACEITE T4;;1111;;100602;1;0;0;0;1997-08-19;1997-04-14;;14450;373623;167205;9392;GG8;;19;11;
1755;7700733545;BOMBA DE GASOLIN  56;;1021;;0;0;0;0;0;;;;30703;0;0;18422;;;505;11;376
1756;7700733679;BOCINA MOTOR      19;;1111;;0;0;0;0;0;;;;2150;0;0;1397;;;400;11;373
1757;7700733764;JGO CABLES BUJIAS T4;;1131;;200102;20;0;0;0;1998-08-03;1998-10-15;;24676;708539;294299;19741;;;623;11;604
1758;7700733791;ESPARRAGO RING.   83;;1121;;50906;40;0;0;0;1998-04-21;1996-10-10;;8640;251344;108211;5184;GG8;;170;11;253
1759;7700733849;AMORTIGUADOR AR   F4;;1421;6006003789;0;0;0;0;0;;;;85900;0;0;51540;;;820;13;673
1760;7700733858;MANGUERA MULTIPLE 22;;1111;;0;0;0;0;0;;;;12102;0;0;7866;;;510;11;148
1761;7700733895;CARBURADOR        T4;;1131;;0;0;0;0;0;;;;0;0;0;0;;;500;11;361
1762;7700733912;MANGUERA FILT AIR 22;;1111;;0;0;0;0;0;;;;6502;0;0;4226;;;109;11;688
1763;7700734129;BOMBA DE FRENO    21;;1061;;90904;2;0;0;0;1997-02-05;1998-02-17;;96007;1984045;887908;38403;OO8;;821;13;379
1764;7700734130;MASTER VAC        21;;1111;;540304;3;0;0;0;1997-01-14;1997-01-14;;262361;5782711;2587902;170535;NV2;;828;13;709
1765;7700734152;HORQUILLA 3A./4A. T4;;1111;;50403;0;0;0;0;1997-08-22;1998-08-17;;149783;3831745;1714798;97359;GG8;;72;11;
1766;7700734250;BOMBA DE GASOLINA 73;;1061;;170304;9;0;0;0;1998-04-21;1998-04-28;;25320;673104;294482;10128;OO8;;505;11;376
1767;7700734344;CHAPA CAJA        21;;1111;;0;0;0;0;0;;;;1537;0;0;999;;;993;11;274
1768;7700734522;CORVERTIDOR CAJA  42;;1131;;580202;1;0;0;0;1998-06-10;1997-01-23;;573462;22267615;9903387;458770;;;572;11;652
1769;7700734530;FILTRO            B5;;1111;;60506;23;0;0;0;1998-08-03;1998-08-21;                   *;2160;39375;14877;1404;;;993;13;
1770;7700734592;CREMALLERA CAJ.42/19;;1111;;110909;3;0;0;0;1998-07-08;1998-07-08;124DIENTES;135567;3746475;1594708;88119;;;29;11;469
1771;7700734594;CREMALLERA CAJA:  42;;1111;7700874355;0;0;0;0;0;1996-03-04;1996-03-04;;173106;181047;0;112519;;;29;11;469
1772;7700734655;FILTRO CUERPO VAL:42;;1111;;40804;2;0;0;0;1998-08-03;1998-09-10;;21156;563266;237782;13751;NV1;;242;11;652
1773;7700734722;JUNTA 15X19X2     22;;1411;;0;0;0;0;0;;;;842;0;0;547;;;993;11;157
1774;7700734780;TOMA DE GASES     21;;1111;;90406;4;0;0;0;1997-09-29;1998-04-14;;3865;100929;45168;2512;GG8;;48;11;373
1775;7700734842;TUERCA CREMALL 73/42;;1151;;80806;20;0;0;0;1998-05-07;;;588;15043;8875;294;OO8;;462;11;253
1776;7700734850;MANGUERA CARBURAD.T4;;1111;;0;0;0;0;0;;;;17459;0;0;11348;;;547;11;148
1777;7700734928;PIÃ‘ON             21;;1111;;0;0;0;0;0;;;;90766;0;0;58998;;;79;11;649
1778;7700734931;PIÃ‘ON EJE         21;;1111;;0;0;0;0;0;;;;90766;0;0;58998;;;79;11;649
1779;7700734938;BIELETA           21;;1121;;90505;0;0;0;0;1998-06-08;1998-10-28;;10889;269285;108735;6533;;;572;11;652
1780;7700734945;FILTRO ACEITE     B5;;1131;7700873583;0;0;0;0;0;;;;3212;0;0;2570;;;501;13;415
1781;7700734957;FILTRO ACEITE  19/F4;;1131;7700873583;0;0;0;0;0;;;;3825;0;0;3060;;;501;13;229
1782;7700734965;MULTIPLE ADM.     83;;1111;;0;0;0;0;0;;;;418244;0;0;271859;;;6;11;373
1783;7700734969;MULTIPLE ADM.     22;;1111;;0;0;0;0;0;;;;418244;0;0;271859;;;6;11;373
1784;7700734982;HORQUILLA         T4;;1111;;20107;0;0;0;0;1998-06-08;1998-10-28;;21492;551141;214105;13970;;;0;11;
1785;7700735073;TASA RUEDA        21;;1111;;250304;7;0;0;0;1998-08-03;1998-05-31;;27904;747996;31713;18138;;;339;11;679
1786;7700735126;TASAS RUEDA       42;;1111;;560303;2;0;0;0;;;;32508;73884;330649;21130;NV2;;339;11;679
1787;7700735135;PIÃ‘ON CAJA AUTOM. B5;;1111;;0;0;0;0;0;;;;469155;0;0;304951;;;860;11;649
1788;7700735223;AMORTIGUADOR MOT. 22;;1421;;150207;1;0;0;0;;;;58252;9071;405949;34951;;;820;13;673
1789;7700735312;POLEA DIRECC.  19/LY;;1111;;90204;0;0;0;0;1997-05-19;1997-05-19;;51461;955293;0;33450;NV1;;9;11;472
1790;7700735313;POLEA CIGUEÃ‘AL    19;;1111;7700749252;0;0;0;0;0;;;;75576;0;0;49124;;;9;11;472
1791;7700735376;POLEA B/B.AGUA 19/LY;;1111;;80304;2;0;0;0;1998-08-03;1998-05-27;;34820;933305;395696;22633;;;9;11;472
1792;7700735390;MANGUERA FILTRO   21;;1111;;170701;1;0;0;0;;;;53706;801031;358481;34909;;;510;11;148
1793;7700735391;SOPORTE FILTRO    21;;1111;;0;0;0;0;0;;;;27915;0;0;18145;;;991;11;247
1794;7700735406;MANGUERA          21;;1111;;130106;0;0;0;0;;1998-01-28;;10206;186813;83603;6634;NV1;;549;13;148
1795;7700735412;MANGUERA          21;;1121;;40208;0;0;0;0;;1998-01-28;;11057;186813;83603;6634;NV1;;549;13;148
1796;7700735456;TERMOSTATO        19;;1411;7700872314;0;0;0;0;0;;;;26611;0;0;17297;;;519;11;775
1797;7700735468;DUCTO             21;;1111;;0;0;0;0;0;;;;12102;0;0;7866;;;510;11;148
1798;7700735486;SOPORTE           19;;1111;7700863112;0;0;0;0;0;;;;43035;0;0;27973;;;27;11;373
1799;7700735508;REDUCTOR T.PRESIO.22;;1111;;0;0;0;0;0;;;;1432;0;0;931;;;516;11;115
1800;7700735509;ARBOL LEVAS    63/21;;1111;;230202;1;0;0;0;;;;411627;6119541;2738641;267558;;;13;11;460
1801;7700735515;EMBELLEC. RUEDA   21;;1111;;500103;2;0;0;0;;;;38340;87232;390384;24921;NV2;;339;11;
1802;7700735517;SEGMENTO;;1111;;150506;11;0;0;0;;;;17820;2378;106421;11583;NV2;;572;11;
1803;7700735545;TAPA VALVULA      21;;1111;;0;0;0;0;0;;;;0;0;0;0;;;20;11;367
1804;7700735552;SURTIDOR MANGUERA 22;;1111;;0;0;0;0;0;;;;2800;0;0;1820;;;516;11;115
1805;7700735571;JUNTA TRAS. CJA   19;;1421;;50302;4;0;0;0;1997-01-08;1997-01-08;                   *;4752;21534;9637;2851;SS8;;564;11;157
1806;7700735572;JUNTA             19;;1421;;210801;10;0;0;0;1996-08-30;1996-08-30;;23121;30073;134584;13873;SS8;;508;11;157
1807;7700735591;CARCAZA FILTRO AI.21;;1161;;220501;1;0;0;0;1996-10-10;1996-10-10;;99348;2459076;1100496;39739;OO8;;513;11;424
1808;7700735632;MANGUERA CAMARA   21;;1111;;90908;2;0;0;0;1998-08-03;1998-08-10;;12741;34133;144715;8282;NV1;;540;11;148
1809;7700735633;MANGUERA CARBURAD.21;;1111;;130405;2;0;0;0;1998-06-10;1998-04-27;;12741;326483;145201;8282;NV1;;540;11;148
1810;7700735634;MANGUERA CARB.    21;;1111;;40605;2;0;0;0;1998-10-06;1998-09-24;;12741;347844;261566;8282;;;540;11;148
1811;7700735681;SOPORTE        BY/LY;;1111;;0;0;0;0;0;;;;1608;0;0;1045;;;466;11;274
1812;7700735735;DISTRIBUIDOR      63;;1161;;40409;1;0;0;0;1997-08-19;1997-06-05;;141183;348449;1559393;56473;OO8;;607;11;
1813;7700735749;MANGUERA          21;;1121;;50405;2;0;0;0;1998-03-23;1998-09-30;;9351;229253;139239;5611;;;549;13;148
1814;7700735752;JTA CTR ACTEB5/19/21;;1411;;210103;9;0;0;0;1998-03-26;1998-03-26;                   *;13068;157451;70463;8494;NV2;;564;11;157
1815;7700735761;CONTROL BIELETA   21;;1121;;0;0;0;0;0;;;;16150;0;0;9690;;;572;11;652
1816;7700735763;POTENCIOMETRO CAJ.21;;1111;;30602;6;0;0;0;1998-09-10;1998-07-15;;74420;2024051;1060994;48373;;;194;11;581
1817;7700735779;TUERCA PLASTICA   T4;;1111;;100606;0;0;0;0;1998-10-20;1998-10-21;;5080;138908;33417;3302;;;462;11;253
1818;7700735793;TUERCA COMPRESOR  19;;1111;;0;0;0;0;0;;;;0;0;0;0;;;462;11;253
1819;7700735836;VALVULA.CHETT(GAS)21;;1111;;0;0;0;0;0;;;;12809;0;0;8326;;;994;11;445
1820;7700735847;EMPACADURA BOMBA  21;;1121;;0;0;0;0;0;;;;0;0;0;0;;;526;11;157
1821;7700735848;JUNTA BOMBA AGUA  21;;1121;;0;0;0;0;0;;;;0;0;0;0;;;526;11;205
1822;7700735860;EJE SELECTOR      21;;1111;;0;0;0;0;0;;;;120286;0;0;78186;;;72;11;649
1823;7700735872;AMORTIGUADOR AV   F4;;1421;7700308609;0;0;0;0;0;;;;120649;0;0;72389;;;820;13;673
1824;7700735904;CORR.ALT.PLANA 19/LY;;1421;;230503;68;0;0;0;1998-08-03;1998-10-29;;20416;449008;191861;12250;;;503;11;151
1825;7700735916;MANGUERA REULAD   22;;1111;;0;0;0;0;0;;;;99348;0;0;64576;;;513;11;148
1826;7700735918;PALIER;;1111;;530201;4;0;0;0;;;;33912;527221;235944;22043;NV2;;993;11;
1827;7700736002;CARCAZA FILTRO    21;;1111;;0;0;0;0;0;;;;93552;0;0;60809;;;510;11;424
1828;7700736018;CALA;;1191;;70402;21;0;0;0;1998-06-08;1997-01-27;                   *;12217;291224;121877;4276;OO8;;572;11;
1829;7700736020;CALA;;1111;;130209;4;0;0;0;;;                   *;16956;22533;100841;11021;NV2;;572;11;
1830;7700736021;CALA EP3;;1171;;90602;6;0;0;0;1997-02-07;1997-02-07;                   *;18388;35948;160876;5516;OO8;;572;11;
1831;7700736022;CALA             AX4;;1111;;120902;6;0;0;0;;;;21531;380875;170451;13995;NV2;;572;11;
1832;7700736023;CALA             AX4;;1121;;60602;5;0;0;0;1996-11-18;1996-11-18;                   *;19383;39668;177524;11630;;;572;11;
1833;7700736085;TENSOR CORR B5/C6/FS;;1111;;70106;1;0;0;0;1998-07-07;1998-10-28;;48356;1273604;534104;31431;;;27;11;373
1834;7700736106;PASADOR SELECTOR  21;;1111;;0;0;0;0;0;;;;18585;0;0;12080;;;993;11;259
1835;7700736149;BUJIA S6YC        22;;1111;;110602;147;0;0;0;1998-09-10;1998-10-29;;1848;41476;19461;1201;;;601;13;
1836;7700736150;BUJIAS CHAMPIOM   SP;;1111;;0;0;0;0;0;;;;2701;0;0;1756;;;601;13;688
1837;7700736159;CONDUCTO DE BOMBA B5;;1111;;0;0;0;0;0;;;;34195;0;0;22227;;;51;11;115
1838;7700736207;TOMA DE GASES     22;;1111;;120706;4;0;0;0;;;;3132;72379;32391;2036;NV2;;48;11;373
1839;7700736366;SOPORTE MULTIPLE. 22;;1111;;0;0;0;0;0;;;;13253;0;0;8614;;;991;11;688
1840;7700736391;CALCULADOR ELECT. 22;;1131;;90107;1;0;0;0;1998-08-03;1998-10-23;;328863;13350715;5660337;263090;;;642;11;748
1841;7700736419;TENSOR CORREA TPO.19;;1111;;80506;1;0;0;0;1998-07-07;1998-04-21;;34241;901651;37812;22257;;;27;11;325
1842;7700736437;PASADOR SELECT 73/42;;1111;;30207;9;0;0;0;1998-06-08;1998-05-27;;1381;37756;22462;898;;;464;11;649
1843;7700736465;COLECTOR GUIA     B5;;1111;7700103872;10905;0;0;0;0;1998-07-03;1998-08-13;;3024;73116;33591;1966;;;508;11;115
